species,lifestage,habitatzone,habitattype,ecoregion,shapefile_name,pretty_name
almacojack,egg,,,,,
almacojack,larvae,,,,,
almacojack,postlarvae,,,,,
almacojack,earlyjuvenile,,,,,
almacojack,latejuvenile,,,,,
almacojack,adult,off,shelf,er1,shelf_off_er1,ER1 Offshore Shelf/Slope Edge
almacojack,adult,off,shelf,er2,shelf_off_er2,ER2 Offshore Shelf/Slope Edge
almacojack,adult,off,shelf,er3,shelf_off_er3,ER3 Offshore Shelf/Slope Edge
almacojack,adult,off,shelf,er4,shelf_off_er4,ER4 Offshore Shelf/Slope Edge
almacojack,adult,off,shelf,er5,shelf_off_er5,ER5 Offshore Shelf/Slope Edge
almacojack,adult,off,hb,er1,hb_off_er1,ER1 Offshore Hard Bottom
almacojack,adult,off,hb,er2,hb_off_er2,ER2 Offshore Hard Bottom
almacojack,adult,off,hb,er3,hb_off_er3,ER3 Offshore Hard Bottom
almacojack,adult,off,hb,er4,hb_off_er4,ER4 Offshore Hard Bottom
almacojack,adult,off,hb,er5,hb_off_er5,ER5 Offshore Hard Bottom
almacojack,spawningadult,near,shelf,er1,shelf_near_er1,ER1 Nearshore Shelf/Slope Edge
almacojack,spawningadult,near,shelf,er2,shelf_near_er2,ER2 Nearshore Shelf/Slope Edge
almacojack,spawningadult,near,shelf,er3,shelf_near_er3,ER3 Nearshore Shelf/Slope Edge
almacojack,spawningadult,near,shelf,er4,shelf_near_er4,ER4 Nearshore Shelf/Slope Edge
almacojack,spawningadult,near,shelf,er5,shelf_near_er5,ER5 Nearshore Shelf/Slope Edge
almacojack,spawningadult,near,hb,er1,hb_near_er1,ER1 Nearshore Hard Bottom
almacojack,spawningadult,near,hb,er2,hb_near_er2,ER2 Nearshore Hard Bottom
almacojack,spawningadult,near,hb,er3,hb_near_er3,ER3 Nearshore Hard Bottom
almacojack,spawningadult,near,hb,er4,hb_near_er4,ER4 Nearshore Hard Bottom
almacojack,spawningadult,near,hb,er5,hb_near_er5,ER5 Nearshore Hard Bottom
almacojack,spawningadult,off,shelf,er1,shelf_off_er1,ER1 Offshore Shelf/Slope Edge
almacojack,spawningadult,off,shelf,er2,shelf_off_er2,ER2 Offshore Shelf/Slope Edge
almacojack,spawningadult,off,shelf,er3,shelf_off_er3,ER3 Offshore Shelf/Slope Edge
almacojack,spawningadult,off,shelf,er4,shelf_off_er4,ER4 Offshore Shelf/Slope Edge
almacojack,spawningadult,off,shelf,er5,shelf_off_er5,ER5 Offshore Shelf/Slope Edge
almacojack,spawningadult,off,hb,er1,hb_off_er1,ER1 Offshore Hard Bottom
almacojack,spawningadult,off,hb,er2,hb_off_er2,ER2 Offshore Hard Bottom
almacojack,spawningadult,off,hb,er3,hb_off_er3,ER3 Offshore Hard Bottom
almacojack,spawningadult,off,hb,er4,hb_off_er4,ER4 Offshore Hard Bottom
almacojack,spawningadult,off,hb,er5,hb_off_er5,ER5 Offshore Hard Bottom
blackfinsnapper,egg,,,,,
blackfinsnapper,larvae,,,,,
blackfinsnapper,postlarvae,,,,,
blackfinsnapper,earlyjuvenile,near,hb,er1,hb_near_er1,ER1 Nearshore Hard Bottom
blackfinsnapper,earlyjuvenile,near,hb,er2,hb_near_er2,ER2 Nearshore Hard Bottom
blackfinsnapper,earlyjuvenile,off,hb,er1,hb_off_er1,ER1 Offshore Hard Bottom
