species,lifestage,habitatzone,habitattype,ecoregion,shapefile_name
almacojack,egg,,,,
almacojack,larvae,,,,
almacojack,postlarvae,,,,
almacojack,earlyjuvenile,near,wca,er1,wca_near_er1
almacojack,earlyjuvenile,near,wca,er2,wca_near_er2
almacojack,earlyjuvenile,near,wca,er3,wca_near_er3
almacojack,earlyjuvenile,near,wca,er4,wca_near_er4
almacojack,earlyjuvenile,near,wca,er5,wca_near_er5
almacojack,earlyjuvenile,off,wca,er1,wca_off_er1
almacojack,earlyjuvenile,off,wca,er2,wca_off_er2
almacojack,earlyjuvenile,off,wca,er3,wca_off_er3
almacojack,earlyjuvenile,off,wca,er4,wca_off_er4
almacojack,earlyjuvenile,off,wca,er5,wca_off_er5
almacojack,latejuvenile,near,wca,er1,wca_near_er1
almacojack,latejuvenile,near,wca,er2,wca_near_er2
almacojack,latejuvenile,near,wca,er3,wca_near_er3
almacojack,latejuvenile,near,wca,er4,wca_near_er4
almacojack,latejuvenile,near,wca,er5,wca_near_er5
almacojack,latejuvenile,off,wca,er1,wca_off_er1
almacojack,latejuvenile,off,wca,er2,wca_off_er2
almacojack,latejuvenile,off,wca,er3,wca_off_er3
almacojack,latejuvenile,off,wca,er4,wca_off_er4
almacojack,latejuvenile,off,wca,er5,wca_off_er5
almacojack,adult,off,shelf,er1,shelf_off_er1
almacojack,adult,off,shelf,er2,shelf_off_er2
almacojack,adult,off,shelf,er3,shelf_off_er3
almacojack,adult,off,shelf,er4,shelf_off_er4
almacojack,adult,off,shelf,er5,shelf_off_er5
almacojack,adult,off,hb,er1,hb_off_er1
almacojack,adult,off,hb,er2,hb_off_er2
almacojack,adult,off,hb,er3,hb_off_er3
almacojack,adult,off,hb,er4,hb_off_er4
almacojack,adult,off,hb,er5,hb_off_er5
almacojack,adult,off,reef,er1,reef_off_er1
almacojack,adult,off,reef,er2,reef_off_er2
almacojack,adult,off,reef,er3,reef_off_er3
almacojack,adult,off,reef,er4,reef_off_er4
almacojack,adult,off,reef,er5,reef_off_er5
almacojack,spawningadult,near,shelf,er1,shelf_near_er1
almacojack,spawningadult,near,shelf,er2,shelf_near_er2
almacojack,spawningadult,near,shelf,er3,shelf_near_er3
almacojack,spawningadult,near,shelf,er4,shelf_near_er4
almacojack,spawningadult,near,shelf,er5,shelf_near_er5
almacojack,spawningadult,near,hb,er1,hb_near_er1
almacojack,spawningadult,near,hb,er2,hb_near_er2
almacojack,spawningadult,near,hb,er3,hb_near_er3
almacojack,spawningadult,near,hb,er4,hb_near_er4
almacojack,spawningadult,near,hb,er5,hb_near_er5
almacojack,spawningadult,near,reef,er1,reef_near_er1
almacojack,spawningadult,near,reef,er2,reef_near_er2
almacojack,spawningadult,near,reef,er3,reef_near_er3
almacojack,spawningadult,near,reef,er4,reef_near_er4
almacojack,spawningadult,near,reef,er5,reef_near_er5
almacojack,spawningadult,off,shelf,er1,shelf_off_er1
almacojack,spawningadult,off,shelf,er2,shelf_off_er2
almacojack,spawningadult,off,shelf,er3,shelf_off_er3
almacojack,spawningadult,off,shelf,er4,shelf_off_er4
almacojack,spawningadult,off,shelf,er5,shelf_off_er5
almacojack,spawningadult,off,hb,er1,hb_off_er1
almacojack,spawningadult,off,hb,er2,hb_off_er2
almacojack,spawningadult,off,hb,er3,hb_off_er3
almacojack,spawningadult,off,hb,er4,hb_off_er4
almacojack,spawningadult,off,hb,er5,hb_off_er5
