"species","lifestage","habitatzone","habitattype","ecoregion","shapefile_name","pretty_name"
"almacojack","egg","","","","",""
"almacojack","larvae","","","","",""
"almacojack","postlarvae","","","","",""
"almacojack","earlyjuvenile","near","wca","er1","wca_near_er1","ER1 Nearshore WCA"
"almacojack","earlyjuvenile","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"almacojack","earlyjuvenile","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"almacojack","earlyjuvenile","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
"almacojack","earlyjuvenile","near","wca","er5","wca_near_er5","ER5 Nearshore WCA"
"almacojack","earlyjuvenile","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"almacojack","earlyjuvenile","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"almacojack","earlyjuvenile","off","wca","er3","wca_off_er3","ER3 Offshore WCA"
"almacojack","earlyjuvenile","off","wca","er4","wca_off_er4","ER4 Offshore WCA"
"almacojack","earlyjuvenile","off","wca","er5","wca_off_er5","ER5 Offshore WCA"
"almacojack","latejuvenile","near","wca","er1","wca_near_er1","ER1 Nearshore WCA"
"almacojack","latejuvenile","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"almacojack","latejuvenile","near","wca","er3","wca_near_er3","ER3 Nearshore WCA"
"almacojack","latejuvenile","near","wca","er4","wca_near_er4","ER4 Nearshore WCA"
"almacojack","latejuvenile","near","wca","er5","wca_near_er5","ER5 Nearshore WCA"
"almacojack","latejuvenile","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"almacojack","latejuvenile","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"almacojack","latejuvenile","off","wca","er3","wca_off_er3","ER3 Offshore WCA"
"almacojack","latejuvenile","off","wca","er4","wca_off_er4","ER4 Offshore WCA"
"almacojack","latejuvenile","off","wca","er5","wca_off_er5","ER5 Offshore WCA"
"almacojack","adult","off","shelf","er1","shelf_off_er1","ER1 Offshore Shelf/Slope Edge"
"almacojack","adult","off","shelf","er2","shelf_off_er2","ER2 Offshore Shelf/Slope Edge"
"almacojack","adult","off","shelf","er3","shelf_off_er3","ER3 Offshore Shelf/Slope Edge"
"almacojack","adult","off","shelf","er4","shelf_off_er4","ER4 Offshore Shelf/Slope Edge"
"almacojack","adult","off","shelf","er5","shelf_off_er5","ER5 Offshore Shelf/Slope Edge"
"almacojack","adult","off","hb","er1","hb_off_er1","ER1 Offshore Hard Bottom"
"almacojack","adult","off","hb","er2","hb_off_er2","ER2 Offshore Hard Bottom"
"almacojack","adult","off","hb","er3","hb_off_er3","ER3 Offshore Hard Bottom"
"almacojack","adult","off","hb","er4","hb_off_er4","ER4 Offshore Hard Bottom"
"almacojack","adult","off","hb","er5","hb_off_er5","ER5 Offshore Hard Bottom"
"almacojack","adult","off","reef","er1","reef_off_er1","ER1 Offshore Reef"
"almacojack","adult","off","reef","er2","reef_off_er2","ER2 Offshore Reef"
"almacojack","adult","off","reef","er3","reef_off_er3","ER3 Offshore Reef"
"almacojack","adult","off","reef","er4","reef_off_er4","ER4 Offshore Reef"
"almacojack","adult","off","reef","er5","reef_off_er5","ER5 Offshore Reef"
"almacojack","spawningadult","near","shelf","er1","shelf_near_er1","ER1 Nearshore Shelf/Slope Edge"
"almacojack","spawningadult","near","shelf","er2","shelf_near_er2","ER2 Nearshore Shelf/Slope Edge"
