species,lifestage,url,shp_comp
almacojack,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/almacojack_2025/FeatureServer/0,blank
almacojack,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/almacojack_2025/FeatureServer/1,blank
almacojack,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/almacojack_2025/FeatureServer/2,blank
almacojack,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/almacojack_2025/FeatureServer/3,spatial_data
almacojack,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/almacojack_2025/FeatureServer/4,spatial_data
almacojack,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/almacojack_2025/FeatureServer/5,spatial_data
almacojack,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/almacojack_2025/FeatureServer/6,spatial_data
bandedrudderfish,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/bandedrudderfish_EFH/FeatureServer/0,spatial_data
bandedrudderfish,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/bandedrudderfish_EFH/FeatureServer/1,spatial_data
bandedrudderfish,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/bandedrudderfish_EFH/FeatureServer/2,spatial_data
bandedrudderfish,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/bandedrudderfish_EFH/FeatureServer/3,spatial_data
bandedrudderfish,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/bandedrudderfish_EFH/FeatureServer/4,spatial_data
bandedrudderfish,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/bandedrudderfish_EFH/FeatureServer/5,spatial_data
bandedrudderfish,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/bandedrudderfish_EFH/FeatureServer/6,spatial_data
blackfinsnapper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/blackfinsnapper_2025/FeatureServer/0,spatial_data
blackfinsnapper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/blackfinsnapper_2025/FeatureServer/1,blank
blackfinsnapper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/blackfinsnapper_2025/FeatureServer/2,blank
